veh_value,exposure,clm,numclaims,claimcst0,veh_body,veh_age,gender,area,agecat,_OBSTAT_
1.06,0.303901437,0,0,0,HBACK,3,F,C,2,01101    0    0    0
1.03,0.648870637,0,0,0,HBACK,2,F,A,4,01101    0    0    0
3.26,0.569472964,0,0,0,UTE,2,F,E,2,01101    0    0    0
4.14,0.317590691,0,0,0,STNWG,2,F,D,2,01101    0    0    0
0.72,0.648870637,0,0,0,HBACK,4,F,C,2,01101    0    0    0
2.01,0.854209446,0,0,0,HDTOP,3,M,C,4,01101    0    0    0
1.6,0.854209446,0,0,0,PANVN,3,M,A,4,01101    0    0    0
1.47,0.55578371,0,0,0,HBACK,2,M,B,6,01101    0    0    0
0.52,0.361396304,0,0,0,HBACK,4,F,A,3,01101    0    0    0
0.38,0.52019165,0,0,0,HBACK,4,F,B,4,01101    0    0    0
1.38,0.854209446,0,0,0,HBACK,2,M,A,2,01101    0    0    0
1.22,0.854209446,0,0,0,HBACK,3,M,C,4,01101    0    0    0
1,0.492813142,0,0,0,HBACK,2,F,C,4,01101    0    0    0
7.04,0.314852841,0,0,0,STNWG,1,M,A,5,01101    0    0    0
1.66,0.484599589,1,1,669.5099993,SEDAN,3,M,B,6,01101    0    0    0
2.35,0.391512663,0,0,0,SEDAN,2,M,C,4,01101    0    0    0
1.51,0.993839836,1,1,806.6099987,SEDAN,3,F,F,4,01101    0    0    0
0.76,0.539356605,1,1,401.8054514,HBACK,3,M,C,4,01101    0    0    0
0.27,0.45174538,0,0,0,HBACK,4,F,D,2,01101    0    0    0
0.89,0.594113621,0,0,0,HBACK,3,F,C,3,01101    0    0    0
1.95,0.594113621,0,0,0,HBACK,1,M,A,1,01101    0    0    0
0.39,0.536618754,0,0,0,SEDAN,4,M,C,5,01101    0    0    0
3.86,0.594113621,0,0,0,STNWG,2,F,B,2,01101    0    0    0
1.37,0.59137577,0,0,0,HBACK,1,F,B,1,01101    0    0    0
1.3,0.999315537,0,0,0,HBACK,2,F,A,2,01101    0    0    0
1.44,0.030116359,0,0,0,HBACK,2,F,C,1,01101    0    0    0
1.349,0.462696783,0,0,0,HBACK,1,F,C,5,01101    0    0    0
1.39,0.317590691,0,0,0,HBACK,3,F,C,2,01101    0    0    0
1,0.287474333,0,0,0,STNWG,4,M,C,3,01101    0    0    0
1.51,0.06844627,0,0,0,HBACK,2,F,C,2,01101    0    0    0
4.45,0.594113621,0,0,0,STNWG,1,F,C,3,01101    0    0    0
